,#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
597,598,"Edler, Alexander",LD,35,35+,UFA,"$3,500,000 ",41,54,3,16,19,18:27,"$64,814 ","$1,166,666 ","$218,750 ","$184,210 ","$4,626 "
598,599,"van Riemsdyk, James","LW, RW",32,Stnd,UFA,"$7,000,000 ",82,186,24,14,38,16:06,"$37,634 ","$291,666 ","$500,000 ","$184,210 ","$5,302 "
599,600,"O'Connor, Drew",LW,23,ELC,RFA,"$925,000 ",22,40,3,2,5,10:17,"$23,125 ","$308,333 ","$462,500 ","$185,000 ","$4,088 "
600,601,"Samberg, Dylan",LD,22,ELC,RFA,"$925,000 ",15,14,0,5,5,14:51,"$66,071 ",∞,"$185,000 ","$185,000 ","$4,152 "
601,602,"Barron, Morgan","LW, RW",23,ELC,RFA,"$925,000 ",27,33,2,3,5,9:47,"$28,030 ","$462,500 ","$308,333 ","$185,000 ","$3,501 "
602,603,"Schmidt, Nate",LD/RD,30,Stnd,UFA,"$5,950,000 ",77,117,4,28,32,20:12,"$50,854 ","$1,487,500 ","$212,500 ","$185,937 ","$3,825 "
603,604,"Neal, James","RW, LW",34,Stnd,UFA,"$750,000 ",19,31,2,2,4,11:57,"$24,193 ","$375,000 ","$375,000 ","$187,500 ","$3,303 "
604,605,"Sgarbossa, Michael",C,29,Stnd,UFA,"$750,000 ",10,11,2,2,4,9:53,"$68,181 ","$375,000 ","$375,000 ","$187,500 ","$7,588 "
605,606,"Dowling, Justin","C, LW",31,Stnd,UFA,"$750,000 ",22,17,2,2,4,9:35,"$44,117 ","$375,000 ","$375,000 ","$187,500 ","$3,557 "
606,607,"White, Colton",LD,24,Stnd,UFA,"$750,000 ",27,18,0,4,4,13:15,"$41,666 ",∞,"$187,500 ","$187,500 ","$2,096 "
607,608,"Hayden, John","C, LW, RW",26,Stnd,UFA,"$750,000 ",55,65,2,2,4,10:50,"$11,538 ","$375,000 ","$375,000 ","$187,500 ","$1,258 "
